date	C	C#	C++	CSS	Clojure	Dart	Go	HTML	Java	JavaScript	Jupyter Notebook	Kotlin	Lua	Objective-C	PHP	PowerShell	Python	Ruby	Rust	SCSS	Scala	Shell	Swift	TeX	TypeScript	Vim Script	Vue
2011-12-29	6.808781	3.245307	5.727012	1.622654	0.668151	0.100000	1.304486	2.736239	8.145084	22.494432	0.100000	0.254534	0.349984	5.249761	7.699650	0.127267	12.440344	13.490296	0.100000	0.127267	1.018136	2.322622	0.254534	0.286351	1.336303	2.163538	0.100000
2012-01-05	6.752513	3.234925	5.684673	1.601759	0.690955	0.100000	1.287688	2.826633	8.260050	22.456030	0.100000	0.251256	0.345477	5.276382	7.694724	0.125628	12.405779	13.473618	0.125628	0.125628	1.036432	2.324121	0.251256	0.282663	1.319095	2.135678	0.100000
2012-01-12	6.784936	3.236850	5.726735	1.618425	0.684718	0.100000	1.369437	2.863368	8.309991	22.408964	0.100000	0.248988	0.342359	5.228758	7.718643	0.124494	12.356054	13.414255	0.124494	0.124494	1.027077	2.303143	0.248988	0.280112	1.307190	2.116402	0.100000
2012-01-19	6.830769	3.200000	5.753846	1.600000	0.676923	0.100000	1.384615	2.923077	8.276923	22.461538	0.100000	0.246154	0.369231	5.230769	7.692308	0.123077	12.307692	13.353846	0.123077	0.123077	1.015385	2.307692	0.246154	0.307692	1.323077	2.092308	0.100000
2012-01-26	7.010622	3.186646	5.735964	1.608498	0.667678	0.100000	1.365706	2.974203	8.285281	22.518968	0.100000	0.242792	0.364188	5.220030	7.587253	0.121396	12.261002	13.262519	0.121396	0.121396	1.001517	2.306525	0.242792	0.303490	1.396055	2.063733	0.100000
2012-02-02	7.040573	3.132458	5.847255	1.610979	0.686158	0.100000	1.372315	2.983294	8.353222	22.523866	0.100000	0.238663	0.387828	5.250597	7.517900	0.119332	12.291169	13.096659	0.119332	0.119332	0.984487	2.326969	0.238663	0.298329	1.372315	2.058473	0.100000
2012-02-09	7.054309	3.158205	5.785124	1.623377	0.678867	0.100000	1.357733	2.981110	8.293979	22.609209	0.100000	0.265643	0.383707	5.283353	7.556080	0.118064	12.160567	13.075561	0.118064	0.118064	0.974026	2.331759	0.236128	0.295159	1.387249	2.125148	0.100000
2012-02-16	7.082236	3.189933	5.823822	1.638865	0.673105	0.100000	1.346210	2.955809	8.282119	22.709980	0.100000	0.263389	0.380451	5.238513	7.521217	0.117062	12.115891	12.993854	0.117062	0.117062	1.053556	2.311970	0.234124	0.292654	1.404741	2.107112	0.100000
2012-02-23	7.080925	3.179191	5.895954	1.676301	0.664740	0.100000	1.358382	3.005780	8.265896	22.687861	0.100000	0.260116	0.375723	5.231214	7.456647	0.115607	12.225434	12.861272	0.115607	0.115607	1.098266	2.283237	0.231214	0.289017	1.387283	2.109827	0.100000
2012-03-01	7.006551	3.133011	5.867274	1.680433	0.712048	0.100000	1.367132	3.019083	8.174309	22.814013	0.100000	0.256337	0.370265	5.183708	7.462261	0.113928	12.361151	12.816861	0.113928	0.113928	1.110795	2.278553	0.256337	0.284819	1.395614	2.079180	0.100000
2012-03-08	7.110862	3.107503	5.795073	1.707727	0.699888	0.100000	1.371781	3.051512	8.174692	22.816349	0.100000	0.251960	0.363942	5.095185	7.362822	0.111982	12.402016	12.849944	0.111982	0.111982	1.119821	2.295633	0.251960	0.279955	1.455767	2.071669	0.100000
2012-03-15	7.162611	3.069690	5.807522	1.686947	0.691372	0.100000	1.382743	3.042035	8.185841	22.898230	0.100000	0.248894	0.359513	5.199115	7.300885	0.110619	12.417035	12.721239	0.110619	0.138274	1.106195	2.267699	0.276549	0.276549	1.465708	2.046460	0.100000
2012-03-22	7.148726	3.067653	5.834018	1.698165	0.684744	0.100000	1.424267	3.040263	8.134758	22.952616	0.100000	0.246508	0.383457	5.176664	7.313065	0.109559	12.352780	12.736237	0.109559	0.136949	1.095590	2.273350	0.273898	0.273898	1.479047	2.026842	0.100000
2012-03-29	7.200866	3.086086	5.847320	1.705468	0.703844	0.100000	1.461830	3.004873	8.121278	22.929074	0.100000	0.243638	0.378993	5.170547	7.336221	0.108284	12.398484	12.696264	0.108284	0.135355	1.082837	2.246887	0.270709	0.270709	1.461830	2.003249	0.100000
2012-04-05	7.271264	3.085592	5.822377	1.717199	0.697612	0.100000	1.448887	2.978267	8.129863	22.994365	0.100000	0.241481	0.375637	5.178428	7.378589	0.107325	12.396029	12.610679	0.107325	0.134156	1.073249	2.253823	0.268312	0.268312	1.448887	1.985511	0.100000
2012-04-12	7.264051	3.075292	5.779427	1.723224	0.689290	0.100000	1.484624	3.048780	8.138918	22.932131	0.100000	0.238600	0.397667	5.143160	7.423118	0.106045	12.513256	12.513256	0.106045	0.132556	1.086957	2.226935	0.265111	0.265111	1.431601	1.961824	0.100000
2012-04-19	7.215954	3.070060	5.851483	1.705589	0.682236	0.100000	1.495670	3.043821	8.186828	22.959853	0.100000	0.236158	0.393597	5.143007	7.399633	0.104959	12.516400	12.437680	0.104959	0.131199	1.075833	2.282865	0.262398	0.288638	1.416951	1.941748	0.100000
2012-04-26	7.226410	3.041331	5.848713	1.715623	0.701846	0.100000	1.507668	3.093319	8.214193	22.952950	0.100000	0.233949	0.389914	5.146868	7.330387	0.103977	12.581232	12.373278	0.103977	0.129971	1.065766	2.287497	0.259943	0.285937	1.429685	1.923577	0.100000
2012-05-03	7.240402	3.040453	5.849008	1.700593	0.695697	0.100000	1.494460	3.143520	8.193764	22.932234	0.100000	0.231899	0.386498	5.153311	7.343468	0.103066	12.651379	12.316413	0.103066	0.128833	1.056429	2.318990	0.257666	0.283432	1.417161	1.906725	0.100000
2012-05-10	7.206747	3.041145	5.877843	1.686685	0.741119	0.100000	1.507795	3.117812	8.228980	22.872476	0.100000	0.230003	0.383338	5.136724	7.436749	0.102223	12.701252	12.215691	0.102223	0.127779	1.047789	2.325581	0.255558	0.281114	1.405571	1.916688	0.100000
2012-05-17	7.132018	3.009611	5.867476	1.694487	0.733434	0.100000	1.492160	3.161356	8.320688	22.938796	0.100000	0.227618	0.404654	5.083460	7.435508	0.101163	12.721295	12.114315	0.101163	0.126454	1.062215	2.352049	0.252908	0.278199	1.441578	1.896813	0.100000
2012-05-24	7.105329	3.027270	5.854391	1.676257	0.750563	0.100000	1.476107	3.152364	8.406305	22.942207	0.100000	0.225169	0.400300	5.103828	7.405554	0.125094	12.684513	12.109082	0.100075	0.125094	1.050788	2.351764	0.250188	0.300225	1.426070	1.901426	0.100000
2012-05-31	7.141086	3.000248	5.851723	1.661294	0.743863	0.100000	1.487726	3.149021	8.430449	22.960575	0.100000	0.223159	0.396727	5.083065	7.438631	0.123977	12.695264	12.100174	0.100000	0.123977	1.041408	2.355567	0.247954	0.297545	1.413340	1.884453	0.100000
2012-06-07	7.111220	3.001969	5.807087	1.648622	0.738189	0.100000	1.476378	3.149606	8.489173	23.031496	0.100000	0.221457	0.393701	5.044291	7.431102	0.123031	12.795276	12.057087	0.100000	0.123031	1.033465	2.362205	0.246063	0.295276	1.402559	1.870079	0.100000
2012-06-14	7.106227	2.979243	5.787546	1.636142	0.732601	0.100000	1.465201	3.174603	8.547009	23.125763	0.100000	0.219780	0.390720	5.054945	7.448107	0.122100	12.796093	11.965812	0.100000	0.122100	1.025641	2.368742	0.244200	0.293040	1.391941	1.855922	0.100000
2012-06-21	7.052836	2.956859	5.816772	1.623849	0.751333	0.100000	1.478429	3.150751	8.579738	23.170141	0.100000	0.218129	0.387785	5.041202	7.440620	0.121183	12.893844	11.875909	0.100000	0.121183	1.042172	2.350945	0.242365	0.290839	1.381483	1.866214	0.100000
2012-06-28	7.082631	2.939051	5.829921	1.614069	0.746808	0.100000	1.469525	3.155866	8.552156	23.343773	0.100000	0.216815	0.409540	5.034931	7.419899	0.120453	12.816189	11.804384	0.100000	0.120453	1.035895	2.360877	0.240906	0.289087	1.373163	1.854975	0.100000
2012-07-05	7.081545	3.004292	5.865522	1.621364	0.739151	0.100000	1.502146	3.123510	8.559847	23.414402	0.100000	0.214592	0.405341	5.054840	7.415355	0.119218	12.756319	11.731044	0.100000	0.119218	1.025274	2.360515	0.238436	0.286123	1.359084	1.835956	0.100000
2012-07-12	7.223796	2.998111	5.878187	1.628895	0.755430	0.100000	1.487252	3.092540	8.569405	23.536355	0.100000	0.212465	0.401322	5.051936	7.341832	0.118036	12.747875	11.614731	0.100000	0.118036	1.015109	2.360718	0.236072	0.283286	1.345609	1.817753	0.100000
2012-07-19	7.248071	2.969371	5.891980	1.660042	0.748188	0.100000	1.496376	3.086275	8.510638	23.497779	0.100000	0.233809	0.397475	5.073650	7.294833	0.116904	12.765957	11.667056	0.100000	0.116904	1.005378	2.384849	0.233809	0.280570	1.356091	1.800327	0.100000
2012-07-26	7.218880	2.938454	5.853771	1.665895	0.740398	0.100000	1.550208	3.146691	8.560851	23.438223	0.100000	0.231374	0.393336	5.090236	7.357705	0.115687	12.679315	11.661268	0.100000	0.115687	0.994910	2.383156	0.231374	0.277649	1.388246	1.804720	0.100000
2012-08-02	7.191938	2.954650	5.840586	1.649107	0.732936	0.100000	1.580394	3.183692	8.543289	23.522675	0.100000	0.251947	0.412277	5.061842	7.306459	0.114521	12.688960	11.566651	0.100000	0.114521	1.007787	2.359139	0.229043	0.274851	1.442968	1.809437	0.100000
2012-08-09	7.248018	2.944507	5.866365	1.676104	0.724802	0.100000	1.585504	3.193658	8.607022	23.578709	0.100000	0.249151	0.407701	5.005663	7.248018	0.113250	12.638732	11.483579	0.100000	0.113250	0.996602	2.355606	0.249151	0.294451	1.472254	1.789354	0.100000
2012-08-16	7.199100	2.947132	5.826772	1.709786	0.719910	0.100000	1.574803	3.194601	8.616423	23.577053	0.100000	0.269966	0.404949	5.061867	7.266592	0.112486	12.665917	11.406074	0.112486	0.112486	0.989876	2.362205	0.247469	0.292463	1.462317	1.799775	0.100000
